product_code;nombre ;nombre largo ;detalle ;familia ;clase;Costo;lista 
198;SPLIT TOKYO PISO TECHO 60000BT;SPLIT TOKYO PISO/TECHO INVERTER ECH18 PTI 60CHR1 60000BTU F/C 220V/1P/50HZ;Marca Tokyo . Segmento Climatizacion . Peso 162000 Gr . Ancho 2714 Cm . Alto 191 Cm . Largo 732 Cm;25;25004;12399959;15624000
183;SPLIT TOKYO SWING SWAY 12000BT;SPLIT TOKYO SWING SWAY 12000BTU ETFH18 12CHR1;12000 Btu . Monofasico . Modo Frio Y Modo Calefaccion . Enfriamiento De Alto Poder . Flujo De Aire Bidimencional(Movimiento Horizontal Y Vertical De Las Aletas) . Control Remoto . Gas Ecolologico . Filtro Lavable Y Desmontable . Funcion Auto Restar;25;25007;1743876;2198000
EDRAPF7200N;AFEITADORA REMINGTON PF7200;AFEITADORA REMINGTON MOD PF7200 COMFORT SERIES TECNOLOGIA FLEX FOIL + ADAPTADOR;Ideal Para Pieles Sensibles, La Afeitadora Comfort Series De Remington Proporciona Un Apurado Comodo Los Cortadores De Doble Lamina Flexibles Siguen Cuidadosamente El Contorno Del Rostro Y Proporcionan Un Excelente Afeitado Ademas, Con El Practico Cortapatillas Extensible Podras Retocar Con Precision El Bigote, La Perilla O Las Patillas;28;28002;192357;243000
EDRPS1305N;ALISADOR REMINGTON MOD S1305;ALISADOR DE PELO REMINGTON MOD S1305;Equipada Con Tecnologia Ceramica Antiestatica . Calentamiento Rapido En 30 Segundos . Temperatura Maxima 210 C . Cable Giratorio . Bivoltaje;28;28004;126295;160000
EDRPS7710N;ALISADOR REMINGTON MOD S7710;ALISADOR DE PELO REMINGTON MOD S7710 PLACAS DE CERAMICA 150 230NC 220V;La Plancha Ionica Pro-Ion De Remington Te Ayudara A Crear Peinados Absolutamente Lisos Y Brillantes, Sin Encrespamiento Ni Electricidad Estatica Gracias A La Tecnologia Ionica Triple Que Genera Iones Negativos Que Envuelven El Cabello De La Raiz A La Punta;28;28004;272355;344000
EDRAS8607N;ALISADOR REMINGTON S8607;ALISADOR DE PELO REMINGTON S8607 ADVANCED THERATY CON COCO;"Medida De Las Placas: 2,54Cm  1"" . Ajustes De Temperatura 160 C - 230 C . Calentamiento En 15 Segundos . Sensor De Calor . Sensor Inteligente De Temperatura . Boton De Encendido Y Apagado . Pantalla Digital . Placas Recubiertas De Ceramica Avanzada Con Coco . Luz Indicadora De Encendido . Bloqueo De Placas";28;28004;459017;579000
EDRPS9600N;ALISADOR REMINGTON S-9600;ALISADOR DE PELO REMINGTON S 9600 SILK 46W 240NC CERAMICA AVANZADA CON SEDA;Ceramica Avanzada Con Seda . Ancho 15 Cm . Alto 85 Cm . Largo 345 Cm . Peso 4250 Gr;28;28004;466722;589000
EDRPS2412N;ALISADOR REMINGTON MOD S2412;ALISADOR REMINGTON MOD S2412 (BV) COMPACT AIRPLATES + ADAPTADOR;Placas Extralargas De 100 Mm . Tecnologia Cool Touch: La Parte Exterior Se Mantiene Mas Fria Para Que Sea Mas Facil Peinarse . 1 Ajuste De Temperatura optima A 200  C . Ceramica Negra Con Titanio . Deslizamiento 2 Veces Mas Suave* . 10 Veces Mas Ceramica* . Suspension De Placa Exclusiva . Mayor Control Del Moldeado . Calentamiento Rapido En 30 Segundos . Indicador Led . Dispositivo De Cierre Para Que Sea Mas Facil De Guardar . Mango Con Proteccion De Silicona . Voltaje Universal . Cable Giratorio De 1,8 M;28;28004;245220;309000
EDRWASF75N;ALISADOR ROWENTA 200C SF75;ALISADOR ROWENTA BRUSH AND STRAIGHT 200C SF75;Premium Care Brush&Straight De Rowenta Proporciona Un Alisado Natural Espectacular Con Proteccion Hasta Una Temperatura De 170  C . El Cepillo Natural Integrado Ayuda A Mantener El Volumen Natural Para Un Alisado Flexible Lleno De Movimiento, Mientras Que El Recubrimiento Exclusivo De Cashmere Keratin Y El Generador De Iones Producen Un Brillo Extraordinario . Una Pantalla De Lcd Proporciona Un Control De La Temperatura De Alta Precision Desde 130 Hasta 200  C;28;28004;227465;287000
EDRWASF62N;ALISADOR ROWENTA LISS & CURL;ALISADOR ROWENTA LISS & CURL ULTIMATE SHINE DOBLE ION;Tecnologia De Dobles Iones Con Resultados 2 Veces Mas Brillantes . Funcion 2 En 1: Liso Y Rizado . Recubrimiento De Nano Ceramic Para Conseguir Un Cabello Brillante . Doble Salida Ionica Para Evitar Encrespamiento Y Un Mayor Brillo . Calentamiento Rapido (15S) . Placas Flotantes (2,5 Cm X 9 Cm) Para Un Mejor Contacto Con El Pelo Y Asi Conseguir Un Resultado Perfecto;28;28004;213998;270000
COARHR611CAN;ANAFE ARISTON ELECT 4H VITRO;ANAFE ARISTON ELECTRICO HR611CA 4HOR VITROCERAMICO TOUCH;Ancho 60 Cm . Alto 13 Cm . Largo 67 Cm . Peso 9000 Gr . Electrico Hr611Ca 4Hor Vitroceramico Touch;15;15004;2965018;3736000
COTOK2V2IN;ANAFE TOKYO 4H 2VITRO 2INDUC;ANAFE ELECTRICO COMBINADA TOKYO 4 H 2 VITROCERAMICA 2 INDUCCION MD TOK2V2I;Potencia: 4500W .  4 Zonas De Coccion .  Bloqueo De Seguridad .  Panel De Control Tactil Y Pantalla .  2 Zonas De Coccion De 15 Cm .  2 Zonas De Coccion De 19 Cm . Medidas An 60 Cm Alt Profundidad 8 Cm 52 Cm . Medidas (Base) An 58 Cm Prof 50 Cm . Sin Cable Ni Enchufe;15;15004;1500800;1892000
COTOK4HVCN;ANAFE ELECTRICO TOKYO 4HVITRO;ANAFE ELECTRICO TOKYO 4 HORNALLAS VITROCERAMICA MOD TOK4HVC;Potencia: 4500W . 4 Zonas De Coccion .  Bloqueo De Seguridad .  2 Zonas De Coccion De 15 Cm .  2 Zonas De Coccion De 19 Cm;15;15004;1250019;1576000
COTOCOOK5;ANAFE TOKYO GAS COOK 5H VIDRIO;ANAFE TOKYO A GAS COOK 5 HORNALLAS SABAF VIDRIO TEMPLADO;5 Hornallas (3 Diferentes Tamanhos) . Potencia Termica: 8700W . Con Encendido Electrico . Med (Base) An 61 Cm Alt 12 Cm Prof 35 Cm;15;15004;900011;1135000
COWHAKM9010NEN;ANAFE WHIRLPOOL 4H VITROPERILL;ANAFE WHIRLPOOL ELECTRICO AKM9010NE 4HORN VITROCERAMICO C/ PERILLAS;Ancho 59 Cm . Alto 13 Cm . Largo 655 Cm . Peso 9500 Gr;15;15004;2990009;3768000
COWHAKT8090LXN;ANAFE WHIRLPOOL 4H VITROTOUCH;ANAFE WHIRLPOOL ELECTRICO AKT8090LX 4HOR VITROCERAMICO TOUCH;Ancho 675 Cm . Alto 14 Cm . Largo 60 Cm . Peso 9 Kg;15;15004;2794101;3521000
COWHACM806BAN;ANAFE WHIRLPOOL INDUC 4H VITRO;ANAFE WHIRLPOOL INDUCCION ACM806BA 4HOR VITROCERAMICO TOUCH;4 Hornallas . Placas A Induccion . Indicador De Placa Caliente ?H . Vitroceramica Schott Ceran   . Panel Touch . Timer Sonoro Hasta 99 Min . Potencia: 6580 W .  Bloqueo De Seguridad .  Procedencia Italiana;15;15004;4070585;5129000
EDTASCFORTE2N;ASPIRADORA TOKYO COMPACT 30L;ASPIRADORA TOKYO COMPACT FORTE 1400W CAP 30LTS 220V/50HZ;Aspiradora Tokyo Compact Forte  . 1400W Cap 30Lts  . 220V 50Hz;35;35001;619013;780000
ELSWS623;AURICULAR MP3 SONY NW-WS623;AURICULAR MP3 SONY NW WS623 4GB NEGRO;Conexion: Bluetooth Y Nfc . Memoria Interna: 4 Gb . Microfono: Incorporado Para Manos Libres . Resitente Al Agua: 20 M (Ipx5 Ip6X);23;23002;829996;1046000
ELPHSHB2505BK10N;AURICULAR PHILIPS IN EAR SHB25;AURICULAR PHILIPS IN EAR SHB2505BK/10 NEGRO MIC BT 15HS BAT;Auricular Philips In Ear  . Modelo Shb2505Bk 10  . Negro Mic Bt  . 15Hs Bat;23;23002;479988;605000
ELPHSHE1405BK10N;AURICULAR PHILIPS IN EAR SHE;AURICULAR PHILIPS IN EAR SHE1405BK/10 MIC CABLE 12M;Auricular Philips In Ear  . Modelo: She1405Bk 10 Mic  . Cable 12M;23;23002;49982;63000
ELPHSHQ1405BL00N;AURICULAR PHILIPS IN EAR SPORT;AURICULAR PHILIPS IN EAR SPORT SHQ1405BL/00 MIC RES AGUA CABLE KEVLAR;Auricular Philips In Ear Sport  . Modelo Shq1405Bl 00 Mic  . Resistente Agua  . Cable Kevlar;23;23002;119997;152000
ELPHSHL5005WT00N;AURICULAR PHILIPS ON EAR;AURICULAR PHILIPS ON EAR SHL5005WT/00  BLANCO MIC CABLE 12M;Auricular Philips On Ear  . Modelo Shl5005Wt 00   . Blanco Mic  . Cable 12M;23;23002;100031;127000
ELPHTAH4105BK00;AURICULAR PHILIPS OVER EAR;AURICULAR PHILIPS OVER EAR TAH4105BK/00 NEGRO MIC CABLE 12MP;Auricular Philips Over Ear  . Modelo Tah4105Bk ,00  . Negro Mic  . Cable 12Mp;23;23002;140030;177000
ELSXB650BTBLACK;AURICULAR SONY MDR-XB650BT NG;AURICULAR SONY MDR XB650BT NEGRO;Siente El Poder De Extra Bass Disenhada Para La Musica Dance, La Innovadora Tecnologia Extra Bass Ofrece Unos Graves Profundos Y Potentes;23;23002;749998;945000
ELSWHCH510;AURICULAR SONY WH-CH510;AURICULAR SONY WH CH510 BT ;Tecnologia Inalambrica Bluetooth Para Disfrutar De Un Movimiento Sin Restricciones . Funcion De Carga Rapida Y Hasta 35 Horas De Duracion De Bateria Para Utilizarlos Durante Todo El Dia . Sencillas Funciones De Llamadas Con Manos Libres Y Comandos Del Asistente De Voz Con Microfono . Cascos Giratorios, Compactos Y Ligeros Para Facilitar El Transporte . Escucha Mas Matices Gracias A La Unidad De Diafragma De 30 Mm . Colores disponibles Blanco Negro ;23;23002;399990;504000
ELSWIC200BL;AURICULAR SONY WI-C200 NG;AURICULAR SONY WI C200 C/BLUETOOTH NEGRO Y BLANCO ;Udio Inalambrico Con Tecnologia Bluetooth . Hasta 15 Horas De Duracion De Bateria . Unidades De Diafragma De 9 Mm Para Un Sonido Claro Y Nitido . Cables Flexibles Y Ligeros . Compatible Con Llamadas Con Manos Libres Y Asistente De Voz;23;23002;220028;278000
GBLTACSP2NV;BALANZA COMER TOKYO IND ACSP2 ;BALANZA COMERCIAL TOKYO IND ACS P2 CON IMPRESORA 10GR A 30KG PARA 5 DIGITOS 220;Ancho 33 Cm . Alto 185 Cm . Largo 425 Cm . Peso 6000 Gr;36;36001;1165000;1468000
GBLTACSL2NV;BALANZA COMER TOKYO IND ACS-L2;BALANZA COMERCIAL TOKYO IND MOD ACS L2 CON TORRE LED DISPLAY 5GR A 30KG 220V/50;Cap Max 30 Kg . Cap Min 100 G . Division 5 G . Funciones: Peso Por Kilo Precio Total Tara . Memoria Sumativa Para 99 Items . Torre Con Pantalla Led . Bateria Para 30 Hs De Trabajo Con Torre;36;36001;385000;486000
GBLTACSC;BALANZA TOKYO IND ACSC 10K;BALANZA DE PRECISION TOKYO INDUSTRIAL MOD ACS C 2 10KGS 220V Y BATERIA;Balanza Tokyo 10Kg . Precision . Mod Acs-C 2-10Kg . 220V Y Bateria Industrial;36;36001;315000;397000
GBTKACSC30;BALANZA ELECT TOKYO IND ACS-C ;BALANZA ELECTRONICA TOKYO INDUSTRIAL MOD ACS C 30KGS C/BATERIA 220V;Color Blanco Color . Ancho 39 Cm . Alto 37 Cm . Largo 14 Cm . Peso 4500 Gr;36;36001;320000;404000
EDTBTOK8012N;BALANZA TOKYO P PERS TOK8012;BALANZA TOKYO P/PERSONAS MOD TOK8012 TOP CAP MAX 150KGS NEGRO;Capacidad:  150 Kilos . Con Display Lcd . Apagado Automatico . Indicador De Sobrecarga De Peso . Indicador De Bateria Baja . Unidad De Medida: Kilos Libras . Alimentacion: 2 Pilas Aa;28;28001;117786;149000
EDTBTOK926N;BALANZA TOKYO P PERS TOK926;BALANZA TOKYO P/PERSONAS TOK926 SLIM CAP MAX 180KGS VERDE;Visor Lcd  .  Hasta 180 Kg  .  Sensor De Calibre De Alta Presion  .  Reajuste A Cero Automatico  .  Apagado Automatico  .  Indicador De Sobrecarga  .  Indicador De Pila Baja ;28;28001;126228;160000
GBARTILRFM5;BATIDORA TOKYO IND CAP 5L LRF5;BATIDORA ALTA ROTACION TOKYO INDUSTRIAL CAP 5LTS MOD LRFM5 220V 50HZ;Batidora Alta Rotacion  . Marca Tokyo Industrial  . Capacidad 5Lts  . Modelo Lrfm5  . 220V 50Hz;36;36001;2185500;2754000
EDABSX15;BATIDORA ARNO FACILITA-SX15 4L;BATIDORA ARNO FACILITA SX15 BLANCA 4LTS 3VEL 220V;Batidora Arno  . Modelo Facilitasx15  . Blanca 4Lts 3Vel 220V;1;1004;255538;322000
EDABPDSX88;BATIDORA ARNO PL DELUXE SX88;BATIDORA ARNO PLANETARIA DELUXE SX88 1 BOWL 8V;Batidora Arno  . Planetaria Deluxe Sx88  . 1 Bowl 8V;1;1004;967145;1219000
EDABPCISX71;BATIDORA ARNO PL INSPIRAR SX71;BATIDORA ARNO PLANETARIA INSPIRART SX71 NG;Batidora Arno  . Planetaria Inspirart Sx71  . Negro;1;1004;550003;694000
EDABPDSX32;BATIDORA ARNO PL SX32;BATIDORA ARNO PLANETARIA ROJA SX32 8 VELOC 600W 2 BOLS;Batidora Arno Planetaria  . Roja Sx32  . 8 Veloc 600W 2 Bols;1;1004;847282;1068000
EDABPSX30;BATIDORA ARNO PL SX30 4L ;BATIDORA ARNO PLANETARIA SX30 8VEL 4LTS 500W BLANCA DOS BOLS;Batidora Arno Planetaria Sx30 . 8Vel 4Lts 500W  . Blanca Dos Bols;1;1004;854853;1078000
EDXBMHT41N;BATIDORA MOULINEX PREPLINE;BATIDORA DE MANO MOULINEX PREPLINE 5V 450W;Batidora De Mano  . Moulinex Prepline 5V 450W;1;1004;258017;326000
EDABSX16;BATIDORA FACILITA ARNO SX16;BATIDORA FACILITA ARNO SX16 3 VELOC NEGRO 220V;Batidora Facilita Arno  . Modelo Sx16  . 3 Veloc Negro 220V;1;1004;257749;325000
EDTBMAX5N;BATIDORA TOKYO BATIMAX 3L;BATIDORA TOKYO BATIMAX BLANCA 5 VELOCIDADES 1 BOWL INOX 3 LTS 220V/50HZ;Potencia: 250W . 5 Velocidades . 2 Modos De Uso . Bol Inox De 3 Litros  . Color: Blanco . Funcion De Batido Y Amasado;1;1004;197650;250000
EDTBTOK208PRN;BEBEDERO TOKYO DE PIE TOK208PR;BEBEDERO TOKYO DE PIE C/REFRIGERADOR AGUA FRIA/CALIENTE TOK208PR;Bebedero Tokyo De Pie  . Con Refrigerador Agua Fria Caliente  . Modelo: Tok208Pr;5;5003;1000042;1261000
EDTBTOKBE801MN;BEBEDERO TOKYO FRIO CALIENTE;BEBEDERO TOKYO FRIO CALIENTE TOKBE801M BLANCO  DE MESA 500W 220 240V/50HZ;Agua Fria Y Caliente . Para Uso Con Bidon . De Mesa . 638W . Cpacidad De Enfriamineto: 2,8 Lts H . Con Compresor . MedAn31 CmAlt53 CmProf40 Cm;5;5003;599985;756000
EDTMTOKBE1634SN;BEBEDERO TOKYO TOKBE1634S F C;BEBEDERO TOKYO TOKBE1634S C/DEPOSITO P/BIDON FRIO CALIENTE 520W 220V 50HZ;Cap De Enfriamiento 2,5 Lts H . Bebedero Tokyo conDeposito ParaBidon FrioCaliente Tokbe1634S 520W 220V 50Hz . Potencia: 520W .  Frio Tropicalizado .  Uso Con Bidon    . Invertido . Provee Agua Natural,   Caliente Y Fria;5;5003;1415978;1785000
GIMSPTRB300N;BICICLETA HORIZONTAL MAGNETICA;BICICLETA HORIZONTAL MAGNETICA SPORTOP MDL RB300;Bicicleta Horizontal, Usocomercial, Asiento Conregulacion De La Distanciay Altura En 9 Posiciones, Seadecua A Cualquier Tamanho DepersonaDisco De Inercia 9 Kgs2 Tonos De IluminacionFuncion De Ajuste Automatico De Intensidadproducto Montado 1260 X 710 X 1095 MmPeso Bruto 615 KgsPeso Maximo Del Usuario 150 Kgs;3;3001;3769755;4750000
EDPBM1000P;BORDEADORA TRAPP MASTER 1000;BORDEADORA TRAPP MASTER 1000 PLUS 1000W S/ RUEDAS;1000 W .  Rango De Corte: 25 Cm .  Empunhadura De Sustentacion Con Ajuste Regulable .  Recomendado Para El Acabado De Jardines, Borde De Canteros Y Para Corte De Cesped De areas Hasta 50M;35;35009;304247;384000
EDPBM800P;BORDEADORA TRAPP MASTER 800;BORDEADORA TRAPP MASTER 800 PLUS 800W S/ RUEDAS; Potencia De 800 Watts . Motor Electrico . Faja De Corte De 29 Cm . Nylon De 1,8 Mm De Grosor . Manija Ajustable . Sistema Automatico De Avance Y Corte Del Hilo De Nylon;35;35009;255806;323000
EDPBMAT1500;BORDEADORA TRAPP MASTER 1500;BORDEADORA TRAPP MASTER AT 1500 1500W S/ RUEDAS;Posee El Motor Mas Potente Del Mercado . Empunhadura De Sustentacion Con Ajuste Regulable . Traba De Extension Electrica . Hilo De Nylon Para El Corte Del Cesped Con Avance Automatico . Motor Universal (Carbones) Con Doble Rodamiento Blindado . Livianos, Practicos Y Funcionales;35;35009;325821;411000
EDPBTM1500;BORDEADORA TRAPP TURBO 1500W;BORDEADORA TRAPP TURBO MASTER 1500W C/ RUEDAS;Potencia 1500 Watts . Ancho 22 Cm . Alto 35 Cm . Largo 131 Cm . Peso 4424 Gr;35;35009;389404;491000
EDPBTM1800;BORDEADORA TRAPP TURBO 1800W;BORDEADORA TRAPP TURBO MASTER 1800W C/ RUEDAS;1800W . 29 Cm De Corte . Con Ruedas ;35;35009;398717;503000
EDXCDGPV24N;CAFETERA DOLCE GUSTO MOULINEX;CAFETERA DOLCE GUSTO MOULINEX GENIO S BASICO + ADAPTADOR;La Maquina Automatica Y Ultracompacta De Cafe En Capsulas Nescafe  Dolce Gusto Genio S By Moulinex Ha Sido Disenhada Pensando En La Creatividad Y La Simplicidad Su Funcionalidad Xl Te Permite Personalizar El Tamanho De Tu Bebida Segun Tus Preferencias Personales ðSimplemente Desliza Una Capsula, Personaliza El Tamanho De Tu Bebida Con El Play&Select Y Disfruta! . Tipo De Cafe: Capsulas . Presion En Bares: 15 Bares . Capacidad (Lt): 08 Lt . Apagado Automatico;1;1016;1145968;1444000
EDKCEAXP341N;CAFETERA KRUPS CALVI ESPRESSO;CAFETERA KRUPS CALVI XP341 ESPRESSO COMPACTA 1450 W 1L CORTE AUTOMATICO;Potencia: 1460W . Compatible Con Cafe Molido . Presion De Trabajo: 15 Bares . Cuenta Con Tecnologia Termobloque Y Con Regulacion Automatica De Temperatura . Ideal Para Preparar Un Autentico Expreso . Tamanho Compacto Y Peso Reducido . Deposito De Agua: 1 L;1;1016;1225899;1545000
EDXCDGPXSBN;CAFETERA MOULINEX PICCOLO XS;CAFETERA MOULINEX DG PICCOLO XS BLANCA;Tipo De Cafe: Capsulas . Presion En Bares: 15 Bares . Capacidad (Lt): 08 Lt . Espumador De Leche . Apagado Automatico . Alto: 28 Cm  Ancho:14 Cm  Profundidad: 27 Cm  ;1;1016;684941;864000
EDXCFG381A10N;CAFETERA MOULINEX FG381 SOLEIL;CAFETERA MOULINEX MOD FG381A10 SOLEIL;Numero De Tazas: 15 . Interruptor (Encendido Apagado): Luminoso . Funcion Mantener Caliente . Funcion Antigoteo . Apagado Y Desconexion Automatica . Almacenamiento Del Cable . Cantidad De Cafe Max: 1,25L . Jarra Recipiente: Cristal . Soporte De Filtro Giratorio . Soporte De Filtro Extraible;1;1016;357110;450000
GIMEVO800N;CAMINADORA EVOLUTION EVO800;CAMINADORA EVOLUTION FITNESS EVO800 110KG;Ancho 30 Cm . Alto 75 Cm . Largo 148 Cm . Peso 32 Kg;3;3001;3286484;4141000
GIMEVO201N;CAMINADORES EVOLUTION EVO201;CAMINADORES EVOLUTION FITNESS EVO201 110KG;Motor 1,5 Hp . Inclinacion Electronica 12  . 9 Programas De Entrenamiento . Velocidad De 0 A 12 Km H . Sensor De Ritmo Cardiaco . Sistema De Amortiguacion . Superficie Plegable . Peso Max De Usuario 120 Kg;3;3001;3995009;5034000
ELELGK22PLUSN;CELULAR LG K22+ 64GB;CELULAR LG K22+PANTALLA 62 HD 64GB 3GB RAM TRIPLE CAM 2+1 BATERIA 3000MAH;Celular Lg K22+  . Pantalla 62 Hd  . 64Gb 3Gb Ram  . Triple Cam 2+1  . Bateria 3000Mah;7;7001;1184024;1492000
ELELGK41SN;CELULAR LG K41S 32GB;CELULAR LG K41S PANTALLA 65 HD 32GB 3GB RAM PENTA CAM 4+1 BAT 4000MAH;Celular Lg K41S  . Pantalla 65 Hd  . 32Gb 3Gb Ram  . Penta Cam 4+1  . Bateria 4000Mah;7;7001;1310051;1651000
ELELGK51SN;CELULAR LG K51S 64GB;CELULAR LG K51S PANTALLA 65 HD 64GB 3GB RAM PENTA CAM 4+1 BAT 4000MAH;Celular Lg K51S  . Pantalla 65 Hd  . 64Gb 3Gb Ram  . Penta Cam 4+1  . Bateria 4000Mah;7;7001;1699991;2142000
ELELGK71;CELULAR LG K71 128GB;CELULAR LG K71 PANTALLA  68'' FHD+ 128GB 4GB RAM QUAD CAM 3+1 BAT 4000MAH;Celular Lg K71  . Pantalla  68'' Fhd+  . 128Gb 4Gb Ram  . Quad Cam 3+1  . Bateria 4000Mah;7;7001;2499971;3150000
ELEREDMI9;CELULAR XIAOMI REDMI 9 32GB GR;CELULAR XIAOMI REDMI 9 GREY PANTALLA 653 FHD+ 32GB ROM 3GB RAM QUAD CAM BATERIA;Celular Xiaomi Redmi 9 Grey  . Pantalla 653 Fhd+  . 32Gb Rom 3Gb Ram  . Quad Cam Bateria;7;7001;1287003;1622000
EDASCRA55;CENTRIFUGA DE ROPAS ARNO 52KG;CENTRIFUGA DE ROPAS ARNO MOD CRA55 52KGS BLANCA TAMBOR INOX;Centrifuga De Ropas Arno  . Mod Cra55  . 52Kgs  . Blanca Tambor Inox;13;13002;707252;892000
